brand,description,price_usd,type
NIKE,+ Off-White Air Force 1 Mid Two-Tone Leather High-Top Sneakers,205,shoes
MR P.,Olie Suede Chelsea Boots,500,shoes
MR P.,Larry Leather Sneakers,325,shoes
NIKE,"P-6000 Suede, Leather and Mesh Sneakers",120,shoes
COMMON PROJECTS,Suede Chelsea Boots,715,shoes
NIKE,Air Force 1 '07 Suede-Trimmed Full-Grain Leather and Canvas Sneakers,120,shoes
MR P.,Larry Bio-Based VEGEA® Sneakers,325,shoes
MR P.,Jacques Leather Derby Shoes,400,shoes
TOM FORD,"James Rubber-Trimmed Leather, Suede and Nylon Sneakers",990,shoes
MR P.,Patent-Leather Monk-Strap Shoes,400,shoes
BRUNELLO CUCINELLI,Suede-Trimmed Full-Grain Leather Sneakers,850,shoes
NEW BALANCE,1906D Protection Pack Leather and Mesh Sneakers,170,shoes
MR P.,Jacques Leather Brogues,425,shoes
TOM FORD,"Jago Neoprene, Mesh and Nylon Sneakers",990,shoes
